key,translation
accounts.account_name,اسم الحساب
accounts.created,تم الإنشاء
accounts.name,الاسم
accounts.no_accounts_found,لم يتم العثور على حسابات
accounts.promise,الوعد
accounts.slug,المعرف المختصر
accounts.unique_identifier_lowercase_no_spaces,معرف فريد (حروف صغيرة، بدون فراغات)
admin.about_account_reset,حول إعادة تعيين الحساب
admin.all_allocation_plans_and_details,جميع خطط التخصيص والتفاصيل
admin.all_balancing_history,جميع سجلات الموازنة
admin.all_material_shipments_and_movements,جميع شحنات وتحركات المواد
admin.all_material_stocks,جميع مخزونات المواد
admin.all_purchase_orders,جميع أوامر الشراء
admin.cannot_be_undone,لا يمكن التراجع عنه
admin.configuration_data_nodes_panelists_materials_etc_w,سيتم الاحتفاظ ببيانات التكوين (العقد، الأعضاء، المواد، إلخ).
admin.create_user,إنشاء مستخدم
admin.deleted_records,السجلات المحذوفة:
admin.demo2_account_not_found,لم يتم العثور على حساب DEMO2
admin.demo_reset,إعادة تعيين العرض التوضيحي
admin.loading,جارٍ التحميل...
admin.loading_accounts,جارٍ تحميل الحسابات...
admin.preserve,حفظ
admin.promise,وعد
admin.reset_data,إعادة تعيين البيانات
admin.the_demo2_account_is_not_available_please_contact_,حساب DEMO2 غير متوفر. يرجى الاتصال بالمسؤول.
admin.this_will_permanently_delete,سيؤدي هذا إلى الحذف الدائم لـ:
admin.user_management,إدارة المستخدمين
admin.warning_this_action_cannot_be_undone,تحذير: لا يمكن التراجع عن هذا الإجراء
allocation_generator.1st_semester,الفصل الأول
allocation_generator.2nd_semester,الفصل الثاني
allocation_generator.about,حول مولد التخصيص
allocation_generator.about_description,إنشاء خطط تخصيص العينات تلقائيًا بناءً على أنماط التوزيع
allocation_generator.actions,الإجراءات
allocation_generator.applied,مطبق
allocation_generator.applied_date,تاريخ التطبيق
allocation_generator.applied_plans,الخطط المطبقة
allocation_generator.applied_plans_historical,الخطط المطبقة (تاريخية)
allocation_generator.apply,تطبيق
allocation_generator.april,أبريل
