key,en,es,fr,ar
common.save,Save,Guardar,Enregistrer,حفظ
common.cancel,Cancel,Cancelar,Annuler,إلغاء
common.delete,Delete,Eliminar,Supprimer,حذف
common.edit,Edit,Editar,Modifier,تعديل
common.add,Add,Añadir,Ajouter,إضافة
common.close,Close,Cerrar,Fermer,إغلاق
common.confirm,Confirm,Confirmar,Confirmer,تأكيد
common.loading,Loading...,Cargando...,Chargement...,جاري التحميل...
common.error,Error,Error,Erreur,خطأ
common.success,Success,Éxito,Succès,نجاح
common.search,Search,Buscar,Rechercher,بحث
common.filter,Filter,Filtrar,Filtrer,تصفية
common.export,Export,Exportar,Exporter,تصدير
common.import,Import,Importar,Importer,استيراد
common.refresh,Refresh,Actualizar,Actualiser,تحديث
common.actions,Actions,Acciones,Actions,إجراءات
common.status,Status,Estado,Statut,الحالة
common.total,Total,Total,Total,المجموع
common.active,Active,Activo,Actif,نشط
common.inactive,Inactive,Inactivo,Inactif,غير نشط
menu.overview,Overview,Resumen,Aperçu,نظرة عامة
menu.dashboard,Dashboard,Panel de Control,Tableau de Bord,لوحة القيادة
menu.dashboard.tooltip,Dashboard: Overview of operational metrics resource status and critical alerts. Monitor allocation plans panelist availability material management and delivery standards.,Panel de Control: Visión general de métricas operacionales estado de recursos y alertas críticas. Monitorea planes de asignación disponibilidad de panelistas gestión de materiales y estándares de entrega.,Tableau de Bord: Aperçu des métriques opérationnelles état des ressources et alertes critiques. Surveillez les plans d'allocation la disponibilité des panélistes la gestion des matériaux et les normes de livraison.,لوحة القيادة: نظرة عامة على المقاييس التشغيلية وحالة الموارد والتنبيهات الحرجة. راقب خطط التخصيص وتوفر اللجان وإدارة المواد ومعايير التسليم.
menu.setup,Setup,Configuración,Configuration,الإعداد
menu.topology,Country Topology,Topología del País,Topologie du Pays,طوبولوجيا البلد
menu.topology.tooltip,Country Topology: Define your geographical structure (regions cities nodes). Create and manage the network of locations where panelists operate. Required before creating allocation plans.,Topología del País: Define tu estructura geográfica (regiones ciudades nodos). Crea y gestiona la red de ubicaciones donde operan los panelistas. Requerido antes de crear planes de asignación.,Topologie du Pays: Définissez votre structure géographique (régions villes nœuds). Créez et gérez le réseau de lieux où opèrent les panélistes. Requis avant de créer des plans d'allocation.,طوبولوجيا البلد: حدد هيكلك الجغرافي (المناطق والمدن والعقد). أنشئ وأدر شبكة المواقع التي يعمل فيها أعضاء اللجان. مطلوب قبل إنشاء خطط التخصيص.
menu.carriers,Carriers & Products,Transportistas y Productos,Transporteurs et Produits,شركات النقل والمنتجات
menu.carriers.tooltip,Carriers & Products: Manage shipping carriers and their product catalog. Define product materials and compositions. Essential for allocation planning and material requirements calculation.,Transportistas y Productos: Gestiona transportistas y su catálogo de productos. Define materiales y composiciones de productos. Esencial para la planificación de asignaciones y cálculo de requisitos de materiales.,Transporteurs et Produits: Gérez les transporteurs et leur catalogue de produits. Définissez les matériaux et compositions des produits. Essentiel pour la planification des allocations et le calcul des besoins en matériaux.,شركات النقل والمنتجات: إدارة شركات الشحن وكتالوج منتجاتها. تحديد مواد المنتجات وتركيباتها. ضروري لتخطيط التخصيص وحساب متطلبات المواد.
menu.panelists,Panelists,Panelistas,Panélistes,أعضاء اللجان
menu.panelists.tooltip,Panelists: Manage panelist registry assign to nodes track availability and vacation periods. View panelist stock levels and manage unavailability schedules.,Panelistas: Gestiona el registro de panelistas asigna a nodos rastrea disponibilidad y períodos de vacaciones. Visualiza niveles de stock de panelistas y gestiona horarios de no disponibilidad.,Panélistes: Gérez le registre des panélistes affectez aux nœuds suivez la disponibilité et les périodes de vacances. Consultez les niveaux de stock des panélistes et gérez les horaires d'indisponibilité.,أعضاء اللجان: إدارة سجل أعضاء اللجان وتعيينهم للعقد وتتبع التوفر وفترات الإجازة. عرض مستويات مخزون أعضاء اللجان وإدارة جداول عدم التوفر.
menu.delivery_standards,Delivery Standards,Estándares de Entrega,Normes de Livraison,معايير التسليم
menu.delivery_standards.tooltip,Delivery Standards: Define expected delivery times and success rates for each carrier-product-route combination. Set warning and critical thresholds for performance monitoring.,Estándares de Entrega: Define tiempos de entrega esperados y tasas de éxito para cada combinación transportista-producto-ruta. Establece umbrales de advertencia y críticos para monitoreo de rendimiento.,Normes de Livraison: Définissez les délais de livraison attendus et les taux de réussite pour chaque combinaison transporteur-produit-itinéraire. Définissez des seuils d'avertissement et critiques pour la surveillance des performances.,معايير التسليم: حدد أوقات التسليم المتوقعة ومعدلات النجاح لكل مزيج من شركة النقل والمنتج والمسار. عيّن عتبات التحذير والحرجة لمراقبة الأداء.
menu.allocation_management,Allocation Management,Gestión de Asignaciones,Gestion des Allocations,إدارة التخصيص
menu.allocation_generator,Allocation Generator,Generador de Asignaciones,Générateur d'Allocations,مولد التخصيص
menu.allocation_generator.tooltip,Allocation Generator: Create new allocation plans by defining carrier product date range and distribution rules. Generate shipment schedules automatically based on your configuration.,Generador de Asignaciones: Crea nuevos planes de asignación definiendo transportista producto rango de fechas y reglas de distribución. Genera calendarios de envíos automáticamente basados en tu configuración.,Générateur d'Allocations: Créez de nouveaux plans d'allocation en définissant le transporteur le produit la plage de dates et les règles de distribution. Générez automatiquement des calendriers d'expédition en fonction de votre configuration.,مولد التخصيص: إنشاء خطط تخصيص جديدة من خلال تحديد شركة النقل والمنتج ونطاق التاريخ وقواعد التوزيع. إنشاء جداول الشحن تلقائيًا بناءً على تكوينك.
menu.load_balancing,Load Balancing,Balanceo de Carga,Équilibrage de Charge,موازنة الحمل
