key,en,es,fr,ar
accounts.account_name,Account Name,Nombre de la cuenta,Nom du compte,اسم الحساب
accounts.created,Created,Creado,Créé,تم الإنشاء
accounts.name,Name,Nombre,Nom,الاسم
accounts.no_accounts_found,No accounts found,No se encontraron cuentas,Aucun compte trouvé,لم يتم العثور على حسابات
accounts.promise,Promise,Promesa,Promesse,الوعد
accounts.slug,Slug,Identificador,Slug,المعرف المختصر
accounts.unique_identifier_lowercase_no_spaces,"Unique identifier (lowercase, no spaces)","Identificador único (minúsculas, sin espacios)","Identifiant unique (minuscules, sans espaces)",معرف فريد (أحرف صغيرة، بدون فراغات)
admin.about_account_reset,About Account Reset,Acerca del restablecimiento de cuenta,À propos de la réinitialisation du compte,حول إعادة تعيين الحساب
admin.all_allocation_plans_and_details,All allocation plans and details,Todos los planes y detalles de asignación,Tous les plans d'allocation et détails,جميع خطط التخصيص والتفاصيل
admin.all_balancing_history,All balancing history,Todo el historial de balanceo,Tout l'historique d'équilibrage,جميع سجلات الموازنة
admin.all_material_shipments_and_movements,All material shipments and movements,Todos los envíos y movimientos de material,Tous les envois et mouvements de matériaux,جميع شحنات وتحركات المواد
admin.all_material_stocks,All material stocks,Todos los inventarios de material,Tous les stocks de matériaux,جميع مخزونات المواد
admin.all_purchase_orders,All purchase orders,Todas las órdenes de compra,Toutes les commandes d'achat,جميع أوامر الشراء
admin.cannot_be_undone,Cannot be undone,No se puede deshacer,Ne peut pas être annulé,لا يمكن التراجع عنه
admin.configuration_data_nodes_panelists_materials_etc_w,"Configuration data (nodes, panelists, materials, etc.) will be preserved.","Los datos de configuración (nodos, panelistas, materiales, etc.) se conservarán.","Les données de configuration (nœuds, panélistes, matériaux, etc.) seront conservées.",سيتم الاحتفاظ ببيانات التكوين (العقد، الأعضاء، المواد، إلخ).
admin.create_user,Create User,Crear usuario,Créer un utilisateur,إنشاء مستخدم
admin.deleted_records,Deleted records:,Registros eliminados:,Enregistrements supprimés :,السجلات المحذوفة:
admin.demo2_account_not_found,DEMO2 account not found,Cuenta DEMO2 no encontrada,Compte DEMO2 introuvable,لم يتم العثور على حساب DEMO2
admin.demo_reset,Demo Reset,Restablecer demo,Réinitialisation de la démo,إعادة تعيين العرض التوضيحي
admin.loading,Loading...,Cargando...,Chargement...,جاري التحميل...
admin.loading_accounts,Loading accounts...,Cargando cuentas...,Chargement des comptes...,جارٍ تحميل الحسابات...
admin.preserve,Preserve,Preservar,Conserver,حفظ
admin.promise,Promise,Promesa,Promesse,وعد
admin.reset_data,Reset Data,Restablecer datos,Réinitialiser les données,إعادة تعيين البيانات
admin.the_demo2_account_is_not_available_please_contact_,The DEMO2 account is not available. Please contact the administrator.,"La cuenta DEMO2 no está disponible. Por favor, contacte al administrador.",Le compte DEMO2 n'est pas disponible. Veuillez contacter l'administrateur.,حساب DEMO2 غير متوفر. يرجى الاتصال بالمسؤول.
admin.this_will_permanently_delete,This will permanently delete:,Esto eliminará permanentemente:,Cela supprimera définitivement :,سيؤدي هذا إلى الحذف الدائم لـ:
admin.user_management,User Management,Gestión de usuarios,Gestion des utilisateurs,إدارة المستخدمين
admin.warning_this_action_cannot_be_undone,Warning: This action cannot be undone,Advertencia: Esta acción no se puede deshacer,Attention : Cette action est irréversible,تحذير: لا يمكن التراجع عن هذا الإجراء
allocation_plans.all_carriers,All Carriers,Todos los operadores,Tous les opérateurs,جميع شركات الاتصالات
allocation_plans.all_cities,All Cities,Todas las ciudades,Toutes les villes,جميع المدن
allocation_plans.all_nodes,All Nodes,Todos los nodos,Tous les nœuds,جميع العقد
allocation_plans.all_plans,All Plans,Todos los planes,Tous les plans,جميع الخطط
allocation_plans.all_products,All Products,Todos los productos,Tous les produits,جميع المنتجات
allocation_plans.all_records,All Records,Todos los registros,Tous les enregistrements,جميع السجلات
allocation_plans.all_status,All Status,Todos los estados,Tous les statuts,جميع الحالات
allocation_plans.auto_fill_to_100,Auto-fill to 100%,Autocompletar al 100%,Remplissage automatique à 100 %,الملء التلقائي إلى 100%
allocation_plans.availability_issues,Availability Issues,Problemas de disponibilidad,Problèmes de disponibilité,مشاكل التوفر
allocation_plans.cancel_selected,Cancel Selected,Cancelar seleccionados,Annuler la sélection,إلغاء المحدد
allocation_plans.cancelled,Cancelled,Cancelado,Annulé,تم الإلغاء
allocation_plans.carrier,Carrier,Operador,Opérateur,شركة الاتصالات
allocation_plans.change_destination_node,Change Destination Node,Cambiar nodo de destino,Modifier le nœud de destination,تغيير عقدة الوجهة
allocation_plans.change_origin_node,Change Origin Node,Cambiar nodo de origen,Modifier le nœud d'origine,تغيير عقدة الأصل
allocation_plans.change_scheduled_date,Change Scheduled Date,Cambiar fecha programada,Modifier la date prévue,تغيير التاريخ المجدول
allocation_plans.city_distribution_matrix,City Distribution Matrix,Matriz de distribución por ciudad,Matrice de distribution par ville,مصفوفة توزيع المدينة
